#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0304920          -          KOG0200              -                  0 1078.5  38.5   1.4e-16   59.5   0.0  47.5  13   9  24  44  44  44  43 -
FBpp0080064          -          KOG0200              -            3.3e-09   35.2   0.1   4.8e-09   34.6   0.1   1.1   1   0   0   1   1   1   1 -
FBpp0298271          -          KOG0200              -              4e-09   34.9   0.0     1e-08   33.5   0.0   1.5   1   1   0   1   1   1   1 -
FBpp0079064          -          KOG0200              -            5.2e-09   34.5   0.1   3.8e-08   31.7   0.0   2.0   2   0   0   2   2   2   1 -
FBpp0291419          -          KOG0200              -            5.6e-09   34.4   0.0   0.00011   20.3   0.0   2.8   1   1   1   2   2   2   2 -
FBpp0074405          -          KOG0200              -            6.3e-09   34.2   0.0    0.0012   16.8   0.0   2.2   2   0   0   2   2   2   2 -
FBpp0302921          -          KOG0200              -            8.6e-09   33.8   0.0   3.7e-07   28.4   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0080920          -          KOG0200              -            8.9e-09   33.7   0.0   5.1e-08   31.2   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0080013          -          KOG0200              -            1.1e-08   33.4   0.1   1.3e-07   29.9   0.1   2.0   1   1   0   1   1   1   1 -
FBpp0306511          -          KOG0200              -            1.2e-08   33.3   0.1   2.8e-08   32.1   0.1   1.5   1   1   0   1   1   1   1 -
FBpp0080860          -          KOG0200              -            1.3e-08   33.2   0.0   4.2e-08   31.5   0.0   1.8   1   1   0   1   1   1   1 -
FBpp0081202          -          KOG0200              -            1.7e-08   32.8   0.0     0.003   15.5   0.0   2.0   1   1   1   2   2   2   2 -
FBpp0079196          -          KOG0200              -            1.8e-08   32.7   0.1   2.5e-07   29.0   0.0   2.1   2   0   0   2   2   2   1 -
FBpp0075895          -          KOG0200              -              2e-08   32.6   0.0   2.2e-08   32.5   0.0   1.1   1   0   0   1   1   1   1 -
FBpp0300982          -          KOG0200              -            2.3e-08   32.4   0.0   9.8e-07   27.0   0.0   2.6   1   1   0   1   1   1   1 -
FBpp0072366          -          KOG0200              -            2.5e-08   32.2   2.1   8.7e-07   27.2   2.1   2.3   1   1   0   1   1   1   1 -
FBpp0088539          -          KOG0200              -            2.7e-08   32.2   0.0   4.7e-08   31.4   0.0   1.3   1   0   0   1   1   1   1 -
FBpp0085145          -          KOG0200              -            3.1e-08   31.9   0.1   6.4e-07   27.6   0.1   2.0   1   1   0   1   1   1   1 -
FBpp0289718          -          KOG0200              -            3.1e-08   31.9   0.0   0.00093   17.2   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0072491          -          KOG0200              -            3.2e-08   31.9   0.5   4.1e-08   31.5   0.5   1.2   1   0   0   1   1   1   1 -
FBpp0083816          -          KOG0200              -            3.9e-08   31.6   0.0     2e-06   26.0   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0075894          -          KOG0200              -            3.9e-08   31.6   0.0   5.6e-08   31.1   0.0   1.3   1   1   0   1   1   1   1 -
FBpp0075965          -          KOG0200              -            4.2e-08   31.5   0.0    0.0015   16.5   0.0   3.3   2   2   0   2   2   2   2 -
FBpp0077706          -          KOG0200              -            6.8e-08   30.8   0.0   2.2e-06   25.8   0.0   2.2   1   1   0   1   1   1   1 -
FBpp0306958          -          KOG0200              -            7.1e-08   30.8   0.1   2.3e-07   29.1   0.1   1.6   1   1   0   1   1   1   1 -
FBpp0288856          -          KOG0200              -              8e-08   30.6   0.0   2.2e-06   25.9   0.0   2.8   1   1   0   1   1   1   1 -
FBpp0078721          -          KOG0200              -            9.2e-08   30.4   0.0   2.1e-05   22.6   0.0   2.9   1   1   0   1   1   1   1 -
FBpp0073578          -          KOG0200              -            1.5e-07   29.7   0.0   9.1e-06   23.8   0.0   2.5   2   1   0   2   2   1   1 -
FBpp0079448          -          KOG0200              -            1.5e-07   29.7   0.2   6.9e-06   24.2   0.2   2.1   1   1   0   1   1   1   1 -
FBpp0078604          -          KOG0200              -            1.7e-07   29.5   0.0   2.3e-06   25.8   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0076038          -          KOG0200              -            1.7e-07   29.5   0.1   5.6e-05   21.2   0.0   2.1   2   0   0   2   2   2   1 -
FBpp0080311          -          KOG0200              -            2.1e-07   29.2   0.0     5e-07   28.0   0.0   1.5   2   0   0   2   2   1   1 -
FBpp0289895          -          KOG0200              -            2.5e-07   29.0   0.0    0.0064   14.4   0.0   3.1   2   1   1   3   3   3   2 -
FBpp0304518          -          KOG0200              -            5.5e-07   27.8   0.0   8.6e-07   27.2   0.0   1.2   1   0   0   1   1   1   1 -
FBpp0308965          -          KOG0200              -            5.5e-07   27.8   1.7     1e-05   23.6   0.9   3.2   3   2   1   4   4   3   1 -
FBpp0304464          -          KOG0200              -            5.6e-07   27.8   0.0     8e-05   20.7   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0085089          -          KOG0200              -              6e-07   27.7   0.1     5e-06   24.7   0.1   2.1   1   1   0   1   1   1   1 -
FBpp0088138          -          KOG0200              -            6.2e-07   27.6   1.1   2.2e-05   22.5   0.1   2.6   2   1   0   2   2   1   1 -
FBpp0304140          -          KOG0200              -            6.4e-07   27.6   0.1   1.6e-05   23.0   0.0   2.7   2   1   0   2   2   2   1 -
FBpp0301162          -          KOG0200              -            6.5e-07   27.6   0.0   1.3e-06   26.5   0.0   1.4   1   0   0   1   1   1   1 -
FBpp0301133          -          KOG0200              -            7.9e-07   27.3   0.1      0.11   10.3   0.1   4.2   1   1   1   2   2   2   2 -
FBpp0300801          -          KOG0200              -            1.1e-06   26.9   0.0   3.3e-06   25.3   0.0   1.8   1   1   0   1   1   1   1 -
FBpp0289452          -          KOG0200              -            1.4e-06   26.5   0.0    0.0071   14.3   0.0   2.1   2   0   0   2   2   2   2 -
FBpp0308709          -          KOG0200              -            1.9e-06   26.1   0.4      0.21    9.4   0.0   3.2   1   1   2   3   3   3   1 -
FBpp0072069          -          KOG0200              -            2.2e-06   25.8   0.0   4.2e-06   24.9   0.0   1.5   1   1   0   1   1   1   1 -
FBpp0083099          -          KOG0200              -            2.4e-06   25.7   0.0   4.2e-05   21.6   0.0   2.2   1   1   0   1   1   1   1 -
FBpp0077962          -          KOG0200              -            2.6e-06   25.6   0.0   1.3e-05   23.3   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0312393          -          KOG0200              -            2.9e-06   25.4   0.0   2.9e-06   25.4   0.0   3.0   4   0   0   4   4   1   1 -
FBpp0083089          -          KOG0200              -            3.4e-06   25.2   1.5    0.0055   14.6   0.1   2.4   3   0   0   3   3   2   2 -
FBpp0088403          -          KOG0200              -            3.5e-06   25.2   0.0    0.0014   16.6   0.0   1.9   1   1   0   2   2   2   1 -
FBpp0303105          -          KOG0200              -            3.7e-06   25.1   0.0     1e-05   23.6   0.0   1.6   2   0   0   2   2   1   1 -
FBpp0085149          -          KOG0200              -            4.8e-06   24.7   0.1   2.6e-05   22.3   0.0   1.9   2   0   0   2   2   2   1 -
FBpp0308344          -          KOG0200              -            5.5e-06   24.5   0.0   4.8e-05   21.4   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0071094          -          KOG0200              -              7e-06   24.2   0.0   1.3e-05   23.3   0.0   1.3   1   0   0   1   1   1   1 -
FBpp0075645          -          KOG0200              -            1.3e-05   23.3   0.9     0.011   13.7   0.5   2.2   1   1   1   2   2   2   1 -
FBpp0086246          -          KOG0200              -            1.4e-05   23.1   0.0    0.0012   16.9   0.0   2.1   2   0   0   2   2   2   1 -
FBpp0306043          -          KOG0200              -            1.9e-05   22.8   0.0   3.8e-05   21.7   0.0   1.5   1   0   0   1   1   1   1 -
FBpp0085082          -          KOG0200              -              2e-05   22.7   0.0     2e-05   22.7   0.0   2.4   3   0   0   3   3   2   1 -
FBpp0071248          -          KOG0200              -            2.3e-05   22.4   0.0   2.6e-05   22.3   0.0   1.3   1   0   0   1   1   1   1 -
FBpp0303345          -          KOG0200              -            3.1e-05   22.0   0.0    0.0002   19.4   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0304401          -          KOG0200              -            3.2e-05   22.0   0.0   0.00015   19.8   0.0   2.0   2   1   0   2   2   1   1 -
FBpp0304501          -          KOG0200              -            3.5e-05   21.9   0.1     0.041   11.7   0.0   2.3   2   1   0   2   2   2   1 -
FBpp0110413          -          KOG0200              -            5.1e-05   21.3   0.0   0.00017   19.6   0.0   1.7   2   0   0   2   2   2   1 -
FBpp0289608          -          KOG0200              -            5.7e-05   21.2   0.7   0.00026   19.0   0.0   2.2   2   1   0   2   2   1   1 -
FBpp0306619          -          KOG0200              -            6.5e-05   21.0   0.0   0.00036   18.5   0.0   1.9   2   0   0   2   2   2   1 -
FBpp0288689          -          KOG0200              -            6.5e-05   21.0   0.3    0.0021   16.0   0.3   2.1   1   1   0   1   1   1   1 -
FBpp0306615          -          KOG0200              -            8.9e-05   20.5   0.1   0.00034   18.6   0.0   1.8   2   0   0   2   2   2   1 -
FBpp0289207          -          KOG0200              -            0.00011   20.2   0.6   0.00011   20.2   0.6   2.9   3   1   0   3   3   1   1 -
FBpp0289737          -          KOG0200              -            0.00014   19.9   0.0      0.18    9.6   0.1   2.1   2   0   0   2   2   2   1 -
FBpp0112160          -          KOG0200              -            0.00014   19.8   0.0   0.00047   18.1   0.0   1.7   1   1   0   1   1   1   1 -
FBpp0308419          -          KOG0200              -            0.00015   19.8   0.0     0.001   17.0   0.0   2.1   2   1   0   2   2   2   1 -
FBpp0293344          -          KOG0200              -            0.00015   19.8   0.0   0.00046   18.2   0.0   1.8   2   0   0   2   2   1   1 -
FBpp0110259          -          KOG0200              -            0.00017   19.6   0.1   0.00025   19.1   0.1   1.1   1   0   0   1   1   1   1 -
FBpp0309256          -          KOG0200              -            0.00019   19.4   0.0   0.00073   17.5   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0307477          -          KOG0200              -             0.0002   19.4   0.0   0.00032   18.7   0.0   1.2   1   0   0   1   1   1   1 -
FBpp0303766          -          KOG0200              -            0.00021   19.3   0.1   0.00047   18.2   0.0   1.5   2   0   0   2   2   1   1 -
FBpp0303074          -          KOG0200              -            0.00022   19.3   0.1   0.00058   17.8   0.0   1.6   2   0   0   2   2   1   1 -
FBpp0080067          -          KOG0200              -            0.00023   19.2   0.1     0.014   13.3   0.0   2.2   2   0   0   2   2   2   1 -
FBpp0082008          -          KOG0200              -            0.00035   18.6   0.0    0.0028   15.6   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0307879          -          KOG0200              -            0.00087   17.3   0.0      0.43    8.4   0.0   2.1   2   0   0   2   2   2   1 -
FBpp0074249          -          KOG0200              -             0.0011   16.9   0.0    0.0039   15.1   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0304889          -          KOG0200              -             0.0018   16.2   0.2     0.029   12.2   0.2   2.4   1   1   0   1   1   1   1 -
FBpp0086978          -          KOG0200              -             0.0019   16.1   0.0      0.33    8.7   0.0   3.4   2   1   0   2   2   2   1 -
FBpp0311360          -          KOG0200              -              0.003   15.5   0.1     0.053   11.4   0.0   2.3   3   0   0   3   3   2   1 -
FBpp0077423          -          KOG0200              -             0.0035   15.3   0.1     0.034   12.0   0.0   1.9   2   0   0   2   2   2   1 -
FBpp0301158          -          KOG0200              -             0.0038   15.2   0.0    0.0069   14.3   0.0   1.4   1   0   0   1   1   1   1 -
FBpp0309354          -          KOG0200              -             0.0039   15.1   0.1    0.0062   14.4   0.1   1.3   1   0   0   1   1   1   1 -
FBpp0099816          -          KOG0200              -             0.0048   14.8   0.0         1    7.1   0.0   2.2   2   0   0   2   2   2   0 -
FBpp0086514          -          KOG0200              -             0.0051   14.7   0.0    0.0082   14.0   0.0   1.2   1   0   0   1   1   1   1 -
FBpp0311155          -          KOG0200              -             0.0085   14.0   0.0    0.0085   14.0   0.0   2.5   3   0   0   3   3   2   1 -
FBpp0073986          -          KOG0200              -              0.012   13.5   0.0       1.5    6.5   0.0   2.2   2   0   0   2   2   2   0 -
FBpp0309286          -          KOG0200              -              0.018   12.9   0.0       3.6    5.3   0.0   2.2   2   0   0   2   2   2   0 -
FBpp0309161          -          KOG0200              -              0.027   12.3   0.0     0.041   11.7   0.0   1.4   1   0   0   1   1   1   0 -
FBpp0072194          -          KOG0200              -              0.029   12.3   0.0      0.63    7.8   0.0   2.2   1   1   0   1   1   1   0 -
FBpp0078437          -          KOG0200              -              0.031   12.1   0.0      0.92    7.3   0.0   2.1   2   0   0   2   2   2   0 -
FBpp0308616          -          KOG0200              -              0.031   12.1   0.0     0.036   11.9   0.0   1.0   1   0   0   1   1   1   0 -
FBpp0289029          -          KOG0200              -              0.047   11.5   0.1       2.6    5.8   0.0   2.3   2   0   0   2   2   2   0 -
FBpp0288767          -          KOG0200              -              0.065   11.1   0.1       5.9    4.6   0.0   2.3   2   0   0   2   2   2   0 -
FBpp0303394          -          KOG0200              -              0.068   11.0   0.0      0.12   10.2   0.0   1.4   1   1   0   1   1   1   0 -
FBpp0073476          -          KOG0200              -               0.07   11.0   0.0      0.11   10.4   0.0   1.2   1   0   0   1   1   1   0 -
FBpp0303008          -          KOG0200              -                0.1   10.4   0.2      0.25    9.2   0.0   1.6   2   0   0   2   2   1   0 -
FBpp0290605          -          KOG0200              -               0.11   10.3   0.0      0.16    9.8   0.0   1.3   1   0   0   1   1   1   0 -
FBpp0087950          -          KOG0200              -               0.14    9.9   2.2      0.18    9.6   0.0   1.9   2   0   0   2   2   2   0 -
FBpp0081138          -          KOG0200              -               0.15    9.9   0.2      0.19    9.5   0.2   1.1   1   0   0   1   1   1   0 -
FBpp0311462          -          KOG0200              -               0.16    9.8   0.0      0.28    9.0   0.0   1.4   1   0   0   1   1   1   0 -
FBpp0076642          -          KOG0200              -               0.22    9.3   0.4      0.26    9.1   0.4   1.0   1   0   0   1   1   1   0 -
FBpp0073917          -          KOG0200              -               0.24    9.2   0.0       0.8    7.5   0.0   1.8   1   0   0   1   1   1   0 -
FBpp0310300          -          KOG0200              -                0.3    8.9   0.0      0.51    8.1   0.0   1.4   1   0   0   1   1   1   0 -
FBpp0079616          -          KOG0200              -               0.31    8.8   0.4       0.4    8.5   0.4   1.2   1   0   0   1   1   1   0 -
FBpp0080543          -          KOG0200              -               0.33    8.7   0.0       4.6    5.0   0.0   2.0   2   0   0   2   2   2   0 -
FBpp0076883          -          KOG0200              -               0.42    8.4   0.0      0.54    8.0   0.0   1.1   1   0   0   1   1   1   0 -
FBpp0289842          -          KOG0200              -               0.48    8.2   0.0       0.5    8.1   0.0   1.1   1   0   0   1   1   1   0 -
FBpp0308622          -          KOG0200              -               0.53    8.0   0.0      0.59    7.9   0.0   1.0   1   0   0   1   1   1   0 -
FBpp0072040          -          KOG0200              -               0.58    7.9   0.1       2.1    6.1   0.1   1.7   1   1   1   2   2   2   0 -
FBpp0080603          -          KOG0200              -               0.58    7.9   0.3       4.4    5.0   0.1   2.0   1   1   1   2   2   2   0 -
FBpp0305528          -          KOG0200              -               0.66    7.7   0.0      0.78    7.5   0.0   1.1   1   0   0   1   1   1   0 -
FBpp0087468          -          KOG0200              -               0.73    7.6   0.6      0.95    7.2   0.6   1.1   1   0   0   1   1   1   0 -
FBpp0300967          -          KOG0200              -               0.76    7.5   0.2       1.2    6.9   0.2   1.2   1   0   0   1   1   1   0 -
FBpp0078999          -          KOG0200              -               0.82    7.4   0.1        11    3.8   0.0   2.1   2   1   1   3   3   2   0 -
FBpp0070514          -          KOG0200              -               0.92    7.3   1.8       1.1    7.0   1.8   1.0   1   0   0   1   1   1   0 -
FBpp0307259          -          KOG0200              -               0.96    7.2   0.1         1    7.1   0.1   1.0   1   0   0   1   1   1   0 -
#
# Program:         hmmsearch
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      ../../profiles/RefOG026.strict.hmm
# Target file:     Drosophila_melanogaster.BDGP6.28.pep.all.fa
# Option settings: hmmsearch -o /dev/null --tblout ../../hmmer_results/Ref026.Drosophila_melanogaster.BDGP6.28.pep.all.fa.txt --noali -E 1 --max --cpu 1 ../../profiles/RefOG026.strict.hmm Drosophila_melanogaster.BDGP6.28.pep.all.fa 
# Current dir:     /data/orig/projects/OrthoFinder/benchmarks/Orthobench/v2/proteomes/primary_transcripts
# Date:            Wed Mar 11 18:56:10 2020
# [ok]
